GMT	global_gene	prismx_gene	global_set	prismx_set
Disease_Signatures_from_GEO_up_2014	0.6173301310158464	0.6549193019595719	0.678561039938472	0.7291848282321917
Tissue_Protein_Expression_from_Human_Proteome_Map	0.6243380220261736	0.6194110150023912	0.6160595355937811	0.693268849175357
WikiPathways_2013	0.8040945573115561	0.8401554517550641	0.7509895501701027	0.820175185941409
HomoloGene	0.7052576882417234	0.7391373162675967	0.5435574046495684	0.6503740777974022
GeneSigDB	0.650607638317554	0.8005007345487091	0.7052209261196202	0.7877252530916524
Enrichr_Submissions_TF-Gene_Coocurrence	0.8272572263023936	0.879603861358958	0.7924585863845762	0.8964763588832624
BioPlanet_2019	0.6888622741429724	0.7969193847652979	0.7833002086087356	0.8574158278753153
SysMyo_Muscle_Gene_Sets	0.7021802038263526	0.7637427287201175	0.7323193305455172	0.8080356982413499
Disease_Perturbations_from_GEO_down	0.7332738382592354	0.7583488143577136	0.7251626560299036	0.8167547962574123
PheWeb_2019	0.5193910711031068	0.5293725750502066	0.6291411058239005	0.68530794786535
Reactome_2013	0.7305094216849147	0.7982220440129928	0.7643338141762637	0.801447599767874
Virus_Perturbations_from_GEO_up	0.6047442922533808	0.6554084594251375	0.650191952433892	0.720864029593716
L1000_Kinase_and_GPCR_Perturbations_down	0.5811447633517314	0.5861706563684385	0.6201788177009168	0.6623789580992406
Jensen_DISEASES	0.6375644691695247	0.7787313083778244	0.6516587163380472	0.7226356857990537
Allen_Brain_Atlas_up	0.6183332606626746	0.6189737839658839	0.5901759644335333	0.665373564127974
WikiPathways_2015	0.7361134035175937	0.8016218984763093	0.7797053964164332	0.8541232679418486
ChEA_2013	0.6382449461896348	0.6876760251796149	0.6540600895021206	0.700367911486444
Panther_2015	0.74147305989212	0.8148225052655494	0.755376044582296	0.8403753646014606
BioCarta_2016	0.717479952837065	0.7508072172378871	0.6969228384019652	0.7492984865170857
BioCarta_2013	0.7474950739811543	0.7650452141179018	0.7336177868612299	0.7746185425281965
ARCHS4_Cell-lines	0.6738469213535151	0.7012032991398681	0.5514843900066548	0.7087081114694153
ARCHS4_IDG_Coexp	0.7761300194406426	0.8053445402613139	0.7689427252274667	0.8349380708833919
ARCHS4_Kinases_Coexp	0.7562236956764068	0.8204025480991668	0.8161334291551946	0.8676544214725715
ARCHS4_Tissues	0.7638180885129591	0.7842980510864308	0.6781878056868001	0.7919459725998628
Achilles_fitness_decrease	0.5597781205041548	0.5755411264282907	0.5417937460185892	0.5638365478039622
Achilles_fitness_increase	0.5152670000368078	0.5786861546019005	0.5331773438935888	0.5496961320580783
Aging_Perturbations_from_GEO_down	0.7387895964721646	0.7628424208804195	0.7114235558418951	0.7892709065980898
Allen_Brain_Atlas_down	0.6194370952083597	0.6183475200679057	0.5367034472693384	0.5973864618597641
BioCarta_2015	0.7042709502021843	0.7697456014971847	0.6973707388555431	0.7528441687541128
BioPlex_2017	0.6601684511833011	0.6800761642719438	0.5722571993644104	0.6419866371641642
CCLE_Proteomics_2020	0.6496619154414518	0.6505020930042087	0.5430951609718584	0.6156524608720295
CORUM	0.7322628886877728	0.7713839090528218	0.6794555993262064	0.7499673173562191
COVID-19_Related_Gene_Sets	0.7100246816176183	0.7707560881473	0.6595542813013375	0.7692336418909086
Cancer_Cell_Line_Encyclopedia	0.6815139187961093	0.7134092319350719	0.5865135583917495	0.7221627302135755
ChEA_2015	0.6298237821006031	0.6795692989079289	0.5998269495617992	0.6538560180661549
ChEA_2016	0.6175718161495146	0.6579624781186542	0.5829087687623591	0.63719153997778
Chromosome_Location	0.630150513780407	0.7227343080012119	0.5071786444535413	0.6343709192019139
Chromosome_Location_hg19	0.5975120151075941	0.7429359755401351	0.5284138865257118	0.6510021833329507
