GMT	global_gene	prismx_gene	global_set	prismx_set
WikiPathways_2013	0.8043428735117862	0.8102964670471219	0.6993321059531287	0.711701785223265
LINCS_L1000_Chem_Pert_up	0.49612678498940554	0.5360656078242831	0.5028592603862839	0.4997100937343541
Aging_Perturbations_from_GEO_down	0.7411222777860784	0.7167051544751708	0.7171180838039334	0.7483466450153844
HMS_LINCS_KinomeScan	0.5419275221379088	0.6310583132832291	0.5007967857013554	0.5280927981230882
Reactome_2016	0.713085126206327	0.7587389884078722	0.7399969866151096	0.7708782999492847
ESCAPE	0.6634594497909365	0.6631136922828756	0.5951186296420308	0.6518513139682167
Human_Gene_Atlas	0.8054128642082006	0.7338110496683485	0.6851126999230559	0.715699439463342
ENCODE_Histone_Modifications_2015	0.6099203488242091	0.5988145115366947	0.5965155294571691	0.6114909555193276
GeneSigDB	0.682317525071461	0.6962972083645328	0.6366013235570736	0.6677445097030399
MCF7_Perturbations_from_GEO_down	0.6779752121827473	0.6680913249874889	0.6613578669181527	0.7093690238692342
MGI_Mammalian_Phenotype_Level_4_2019	0.686789514448767	0.7043552003599941	0.6511247493268434	0.6775212304535175
LINCS_L1000_Ligand_Perturbations_down	0.5875570943744862	0.5722740749037074	0.5179529146907498	0.5688106569470076
Cancer_Cell_Line_Encyclopedia	0.6821841225276002	0.6499861118711916	0.5870732581227326	0.6674369536708563
BioPlex_2017	0.6592755973270773	0.639056851024232	0.5736518856668898	0.6127610499217212
Jensen_COMPARTMENTS	0.6262139111133371	0.6903937442807034	0.675802013722475	0.6975564098774282
huMAP	0.7248015697875115	0.7112172393427	0.745108073777533	0.7582388670661129
MSigDB_Oncogenic_Signatures	0.6474520774575484	0.6322849977371046	0.5578961608928926	0.6173347665022743
Disease_Perturbations_from_GEO_down	0.7348791093705087	0.7095053522087459	0.6827563184591875	0.7367918622071568
GO_Molecular_Function_2018	0.6793271053269068	0.7275329320253661	0.6710748679586699	0.7054783683330409
Jensen_DISEASES	0.6401908439414493	0.7011107015064948	0.5833192571223846	0.6155779433749723
ENCODE_TF_ChIP-seq_2015	0.6112722595898509	0.5861133400146794	0.6445221198918143	0.6380907800134955
Pfam_InterPro_Domains	0.7010147965307207	0.7268498261529369	0.6893154124314846	0.7181523803881009
Reactome_2013	0.7325593426618859	0.7698470423622648	0.7120467290944595	0.7263597558816993
MGI_Mammalian_Phenotype_2017	0.6844661451791427	0.7030342743453796	0.6417192392816962	0.6656917624918093
Disease_Perturbations_from_GEO_up	0.728550843495274	0.6977184695644536	0.6772692642368985	0.7396375218941068
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.6795553560271982	0.636438916619132	0.6345871096032079	0.645896283513947
Rare_Diseases_AutoRIF_ARCHS4_Predictions	0.776537441918314	0.819541019432164	0.8983161900447636	0.8844168589184818
WikiPathways_2019_Human	0.7123515279783458	0.7412767920395912	0.7276908347028338	0.7420904700748876
COVID-19_Related_Gene_Sets	0.7099923326381155	0.7063945096992413	0.6618204030631659	0.7123897930988787
Microbe_Perturbations_from_GEO_down	0.7463289261251328	0.7145166620428562	0.6897524557016166	0.7348599654724842
SILAC_Phosphoproteomics	0.6137829068492511	0.5743921801917833	0.6222091168984373	0.6343423581705261
GO_Biological_Process_2017	0.7097955874975559	0.756434711106832	0.6896790812425921	0.7284287900953411
Transcription_Factor_PPIs	0.6220084130116702	0.6063541115960066	0.5688533780252398	0.5976761213598798
GO_Molecular_Function_2013	0.5776371638579847	0.6936884043230067	0.6613901191941997	0.6901916551760313
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	0.5305497547529987	0.5452814717343113	0.6334788228367876	0.6361051722098753
Table_Mining_of_CRISPR_Studies	0.6924374058389546	0.7218919865510057	0.6486194900339509	0.6783063237595832
TF_Perturbations_Followed_by_Expression	0.7163740169735144	0.7063048006638275	0.6909123668917811	0.7393114160501216
